#; CPU time in ms; temp1 in C; temp2 in C; ax1 in m/s^2; ay1 in m/s^2; az1 in m/s^2; ax2 in m/s^2; ay2 in m/s^2; az2 in m/s^2; volt1; volt2; cur1; cur2; cur3; cur4; cur5; speed in m/s
79; 29756; 32.10; 25.72; -9.63; -0.36; 0.56; 9.78; 0.02; 0.28; 937.00; 1014.00; 496.00; 527.00; 508.00; 506.00; 527.00; 0.00
80; 29856; 32.10; 25.71; -9.67; -0.32; 0.51; 10.03; 0.10; 0.28; 1004.00; 978.00; 496.00; 498.00; 496.00; 508.00; 523.00; 0.00
81; 29956; 32.10; 25.71; -9.53; -0.34; 0.50; 9.83; 0.14; 0.46; 945.00; 941.00; 502.00; 495.00; 498.00; 508.00; 525.00; 0.00
82; 30056; 32.10; 25.72; -9.59; -0.33; 0.46; 9.95; 0.15; 0.37; 930.00; 1023.00; 492.00; 524.00; 504.00; 508.00; 518.00; 0.00
83; 30156; 32.10; 25.72; -9.58; -0.26; 0.43; 10.04; 0.10; 0.37; 917.00; 999.00; 495.00; 492.00; 507.00; 503.00; 526.00; 0.00
84; 30256; 32.10; 25.72; -9.65; -0.28; 0.56; 10.01; 0.04; 0.26; 994.00; 956.00; 496.00; 491.00; 504.00; 507.00; 529.00; 0.00
85; 30356; 32.10; 25.72; -9.69; -0.29; 0.55; 9.86; 0.11; 0.34; 995.00; 988.00; 498.00; 501.00; 499.00; 509.00; 520.00; 0.00
86; 30456; 32.10; 25.72; -9.73; -0.37; 0.72; 9.99; 0.18; 0.22; 954.00; 984.00; 498.00; 511.00; 526.00; 511.00; 519.00; 0.00
87; 30556; 32.10; 25.72; -9.66; -0.28; 0.54; 9.96; 0.01; 0.52; 922.00; 955.00; 497.00; 526.00; 513.00; 515.00; 514.00; 0.00
88; 30656; 32.10; 25.72; -9.69; -0.29; 0.67; 9.89; 0.03; 0.13; 949.00; 975.00; 496.00; 513.00; 530.00; 507.00; 525.00; 0.00
89; 30756; 32.11; 25.72; -9.64; -0.29; 0.68; 9.90; 0.17; 0.22; 955.00; 994.00; 496.00; 505.00; 489.00; 507.00; 526.00; 0.00
